                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.52391,                0.84155,                0.89631,                      1,                0.98687,                  0.995,                 0.8955,                0.55863,                0.89553,                0.77521,             0.00021164,             0.00021164,             0.00021164
                     91,                0.56897,                 1.5827,                0.88149,                      1,                0.98687,                  0.995,                 0.8955,                0.55863,                0.89553,                0.77521,              0.0001962,              0.0001962,              0.0001962
                     92,                0.53233,                   1.77,                0.88155,                      1,                0.99127,                  0.995,                0.91632,                0.49644,                0.89702,                0.75196,             0.00018036,             0.00018036,             0.00018036
                     93,                0.49802,                 1.7011,                0.86947,                      1,                0.99127,                  0.995,                0.91632,                0.49644,                0.89702,                0.75196,             0.00016413,             0.00016413,             0.00016413
                     94,                 0.5923,                 1.5734,                0.92292,                      1,                0.99127,                  0.995,                0.91632,                0.49644,                0.89702,                0.75196,              0.0001475,              0.0001475,              0.0001475
                     95,                0.45515,                  1.334,                 0.9552,                      1,                0.99127,                  0.995,                0.91632,                0.49644,                0.89702,                0.75196,             0.00013047,             0.00013047,             0.00013047
                     96,                0.49563,                 1.5312,                 1.0322,                      1,                0.99578,                  0.995,                0.88976,                0.54187,                0.90582,                0.75903,             0.00011305,             0.00011305,             0.00011305
                     97,                0.65235,                 1.6425,                0.96343,                      1,                0.99578,                  0.995,                0.88976,                0.54187,                0.90582,                0.75903,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.53108,                 1.5321,                0.86185,                      1,                0.99578,                  0.995,                0.88976,                0.54187,                0.90582,                0.75903,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.44128,                 1.3948,                0.85047,                      1,                0.99578,                  0.995,                0.88976,                0.54187,                0.90582,                0.75903,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.49766,                  1.542,                 0.8695,                0.99929,                      1,                  0.995,                0.92448,                0.54603,                0.88781,                0.76141,             3.9402e-05,             3.9402e-05,             3.9402e-05
